<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE1>;<TIME>;<OPEN1>;<HIGH1>;<LOW1>;<CLOSE1>;<VOL>;<TICKER>;<PER>;<DATE2>;<TIME>;<OPEN2>;<HIGH2>;<LOW2>;<CLOSE2>;<VOL>;<TICKER>;<PER>;<DATE3>;<TIME>;<OPEN3>;<HIGH3>;<LOW3>;<CLOSE3>;<VOL>
SPFB.RTS-12.18;1;19.09.2018;10:01;110590;111090;110590;111070;1196;SPFB.RTS-12.18;1;19.10.2018;10:01;113540;114270;113540;114050;8272;SPFB.RTS-12.18;1;19.11.2018;10:01;113360;113530;113200;113310;4115;SPFB.RTS-12.18;1;19.12.2018;10:01;109030;109480;108940;109330;2339
SPFB.RTS-12.18;1;19.09.2018;10:02;111070;111260;111040;111250;1022;SPFB.RTS-12.18;1;19.10.2018;10:02;114050;114220;114040;114190;3465;SPFB.RTS-12.18;1;19.11.2018;10:02;113310;113310;113160;113230;1702;SPFB.RTS-12.18;1;19.12.2018;10:02;109340;109440;109330;109390;1547
SPFB.RTS-12.18;1;19.09.2018;10:03;111280;111310;110940;111100;882;SPFB.RTS-12.18;1;19.10.2018;10:03;114190;114190;113980;114010;1565;SPFB.RTS-12.18;1;19.11.2018;10:03;113250;113270;113200;113240;475;SPFB.RTS-12.18;1;19.12.2018;10:03;109390;109440;109270;109380;1027
SPFB.RTS-12.18;1;19.09.2018;10:04;111120;111200;111060;111200;289;SPFB.RTS-12.18;1;19.10.2018;10:04;114000;114080;113980;114040;1015;SPFB.RTS-12.18;1;19.11.2018;10:04;113250;113290;113220;113280;973;SPFB.RTS-12.18;1;19.12.2018;10:04;109380;109390;109300;109320;521
SPFB.RTS-12.18;1;19.09.2018;10:05;111190;111200;111130;111190;446;SPFB.RTS-12.18;1;19.10.2018;10:05;114040;114080;114020;114060;1404;SPFB.RTS-12.18;1;19.11.2018;10:05;113280;113380;113270;113370;967;SPFB.RTS-12.18;1;19.12.2018;10:05;109310;109340;109280;109310;1058
SPFB.RTS-12.18;1;19.09.2018;10:06;111180;111250;111150;111200;467;SPFB.RTS-12.18;1;19.10.2018;10:06;114050;114060;113890;114010;1377;SPFB.RTS-12.18;1;19.11.2018;10:06;113360;113440;113350;113420;844;SPFB.RTS-12.18;1;19.12.2018;10:06;109310;109370;109160;109350;1524
SPFB.RTS-12.18;1;19.09.2018;10:07;111190;111270;111190;111250;151;SPFB.RTS-12.18;1;19.10.2018;10:07;114010;114040;113970;113970;512;SPFB.RTS-12.18;1;19.11.2018;10:07;113420;113460;113400;113440;661;SPFB.RTS-12.18;1;19.12.2018;10:07;109350;109400;109200;109260;1898
SPFB.RTS-12.18;1;19.09.2018;10:08;111250;111400;111250;111370;817;SPFB.RTS-12.18;1;19.10.2018;10:08;113960;113980;113830;113860;1263;SPFB.RTS-12.18;1;19.11.2018;10:08;113450;113480;113360;113430;673;SPFB.RTS-12.18;1;19.12.2018;10:08;109250;109360;109230;109300;467
SPFB.RTS-12.18;1;19.09.2018;10:09;111370;111470;111340;111430;671;SPFB.RTS-12.18;1;19.10.2018;10:09;113850;113860;113730;113820;2008;SPFB.RTS-12.18;1;19.11.2018;10:09;113430;113470;113400;113420;826;SPFB.RTS-12.18;1;19.12.2018;10:09;109310;109360;109270;109360;281
SPFB.RTS-12.18;1;19.09.2018;10:10;111450;111500;111440;111480;491;SPFB.RTS-12.18;1;19.10.2018;10:10;113800;113800;113660;113680;1626;SPFB.RTS-12.18;1;19.11.2018;10:10;113420;113470;113410;113430;358;SPFB.RTS-12.18;1;19.12.2018;10:10;109350;109370;109300;109360;579
SPFB.RTS-12.18;1;19.09.2018;10:11;111470;111490;111380;111380;1165;SPFB.RTS-12.18;1;19.10.2018;10:11;113680;113770;113640;113720;1255;SPFB.RTS-12.18;1;19.11.2018;10:11;113440;113650;113390;113590;2625;SPFB.RTS-12.18;1;19.12.2018;10:11;109370;109370;109280;109280;533
SPFB.RTS-12.18;1;19.09.2018;10:12;111380;111410;111340;111410;602;SPFB.RTS-12.18;1;19.10.2018;10:12;113720;113870;113700;113840;870;SPFB.RTS-12.18;1;19.11.2018;10:12;113590;113720;113570;113630;1891;SPFB.RTS-12.18;1;19.12.2018;10:12;109290;109340;109260;109330;466
SPFB.RTS-12.18;1;19.09.2018;10:13;111410;111410;111270;111310;487;SPFB.RTS-12.18;1;19.10.2018;10:13;113830;113840;113750;113770;1030;SPFB.RTS-12.18;1;19.11.2018;10:13;113650;113710;113620;113680;903;SPFB.RTS-12.18;1;19.12.2018;10:13;109340;109350;109250;109250;905
SPFB.RTS-12.18;1;19.09.2018;10:14;111320;111320;111260;111310;190;SPFB.RTS-12.18;1;19.10.2018;10:14;113760;113760;113700;113750;993;SPFB.RTS-12.18;1;19.11.2018;10:14;113660;113830;113640;113810;2561;SPFB.RTS-12.18;1;19.12.2018;10:14;109260;109280;109200;109220;705
